,Date/Time,Max Temp (°C),Min Temp (°C)
0,2012-01-01,7.3,3.5
1,2012-01-02,9.5,2.8
2,2012-01-03,8.9,7.2
3,2012-01-04,11.3,8.2
4,2012-01-05,8.9,5.8
5,2012-01-06,5.9,4.0
6,2012-01-07,5.1,4.3
7,2012-01-08,8.3,4.9
8,2012-01-09,10.0,6.4
9,2012-01-10,6.4,2.3
10,2012-01-11,6.0,0.5
11,2012-01-12,6.3,-0.6
12,2012-01-13,4.5,0.0
13,2012-01-14,4.8,-0.3
14,2012-01-15,3.7,-0.7
15,2012-01-16,1.8,-0.9
16,2012-01-17,2.2,-3.4
17,2012-01-18,-2.5,-5.6
18,2012-01-19,-1.1,-5.5
19,2012-01-20,7.2,-3.2
20,2012-01-21,7.4,4.4
21,2012-01-22,6.7,4.0
22,2012-01-23,6.4,3.4
23,2012-01-24,8.1,4.6
24,2012-01-25,9.8,3.0
25,2012-01-26,6.7,2.2
26,2012-01-27,6.0,2.2
27,2012-01-28,6.4,1.8
28,2012-01-29,7.3,4.8
29,2012-01-30,7.6,5.9
30,2012-01-31,6.8,5.3
31,2012-02-01,8.5,4.0
32,2012-02-02,8.6,4.4
33,2012-02-03,7.8,1.9
34,2012-02-04,8.1,2.4
35,2012-02-05,7.7,1.1
36,2012-02-06,8.4,2.1
37,2012-02-07,10.5,1.8
38,2012-02-08,8.7,5.9
39,2012-02-09,8.7,7.1
40,2012-02-10,11.5,7.4
41,2012-02-11,10.3,7.7
42,2012-02-12,7.7,6.1
43,2012-02-13,8.8,5.0
44,2012-02-14,9.0,3.4
45,2012-02-15,7.3,3.9
46,2012-02-16,6.0,4.1
47,2012-02-17,8.5,5.0
48,2012-02-18,6.5,3.7
49,2012-02-19,7.2,3.6
50,2012-02-20,7.6,3.9
51,2012-02-21,6.9,4.2
52,2012-02-22,10.3,5.4
53,2012-02-23,8.1,2.5
54,2012-02-24,5.7,2.6
55,2012-02-25,7.4,3.4
56,2012-02-26,6.0,0.7
57,2012-02-27,4.6,-1.3
58,2012-02-28,6.9,2.0
59,2012-02-29,5.1,1.0
60,2012-03-01,7.8,1.0
61,2012-03-02,5.0,3.7
62,2012-03-03,7.2,4.0
63,2012-03-04,8.4,6.0
64,2012-03-05,7.4,3.6
65,2012-03-06,6.1,0.5
66,2012-03-07,6.5,1.5
67,2012-03-08,8.4,0.9
68,2012-03-09,7.9,5.3
69,2012-03-10,7.7,4.3
70,2012-03-11,9.2,5.1
71,2012-03-12,6.8,5.0
72,2012-03-13,7.3,2.9
73,2012-03-14,5.8,3.1
74,2012-03-15,12.9,5.1
75,2012-03-16,9.8,2.0
76,2012-03-17,9.4,3.9
77,2012-03-18,7.2,2.8
78,2012-03-19,6.2,1.1
79,2012-03-20,8.7,3.0
80,2012-03-21,8.7,3.2
81,2012-03-22,7.3,1.8
82,2012-03-23,9.0,3.5
83,2012-03-24,10.3,1.3
84,2012-03-25,11.5,3.4
85,2012-03-26,9.1,6.2
86,2012-03-27,11.8,7.0
87,2012-03-28,11.0,7.4
88,2012-03-29,9.1,4.6
89,2012-03-30,9.5,4.9
90,2012-03-31,6.8,3.3
91,2012-04-01,11.3,2.7
92,2012-04-02,12.1,6.3
93,2012-04-03,11.0,5.7
94,2012-04-04,9.3,4.1
95,2012-04-05,9.9,4.5
96,2012-04-06,12.1,3.8
97,2012-04-07,11.9,2.8
98,2012-04-08,14.2,3.7
99,2012-04-09,16.2,6.8
100,2012-04-10,16.9,8.4
101,2012-04-11,12.3,8.7
102,2012-04-12,15.5,7.6
103,2012-04-13,12.8,5.7
104,2012-04-14,14.0,6.4
105,2012-04-15,14.5,8.3
106,2012-04-16,14.9,6.7
107,2012-04-17,11.5,6.0
108,2012-04-18,11.6,6.5
109,2012-04-19,11.8,6.8
110,2012-04-20,14.6,6.6
111,2012-04-21,13.5,4.6
112,2012-04-22,17.3,9.4
113,2012-04-23,16.3,10.2
114,2012-04-24,13.3,9.5
115,2012-04-25,12.6,9.5
116,2012-04-26,14.0,8.6
117,2012-04-27,13.6,7.9
118,2012-04-28,12.4,8.4
119,2012-04-29,15.1,9.3
120,2012-04-30,13.6,7.8
121,2012-05-01,12.0,7.2
122,2012-05-02,12.3,5.6
123,2012-05-03,11.5,6.7
124,2012-05-04,12.8,7.8
125,2012-05-05,14.3,7.2
126,2012-05-06,16.1,7.5
127,2012-05-07,19.4,9.0
128,2012-05-08,18.0,10.7
129,2012-05-09,13.7,9.0
130,2012-05-10,13.4,4.8
131,2012-05-11,15.7,6.0
132,2012-05-12,19.6,6.3
133,2012-05-13,19.7,8.5
134,2012-05-14,19.7,9.8
135,2012-05-15,18.9,9.9
136,2012-05-16,16.1,9.7
137,2012-05-17,16.1,7.2
138,2012-05-18,15.3,7.5
139,2012-05-19,18.2,8.0
140,2012-05-20,14.3,11.2
141,2012-05-21,13.8,11.0
142,2012-05-22,15.9,9.2
143,2012-05-23,13.3,8.0
144,2012-05-24,15.3,9.1
145,2012-05-25,21.1,7.9
146,2012-05-26,23.4,9.9
147,2012-05-27,18.9,12.1
148,2012-05-28,14.9,11.0
149,2012-05-29,16.6,9.7
150,2012-05-30,15.2,9.8
151,2012-05-31,15.2,10.9
152,2012-06-01,18.7,12.3
153,2012-06-02,17.0,11.1
154,2012-06-03,16.2,10.3
155,2012-06-04,12.9,7.9
156,2012-06-05,14.0,11.3
157,2012-06-06,15.5,9.2
158,2012-06-07,12.5,10.1
159,2012-06-08,15.3,8.0
160,2012-06-09,18.0,8.9
161,2012-06-10,17.7,10.5
162,2012-06-11,20.8,11.1
163,2012-06-12,15.9,13.4
164,2012-06-13,15.0,11.8
165,2012-06-14,15.3,10.6
166,2012-06-15,18.5,9.3
167,2012-06-16,15.3,12.8
168,2012-06-17,18.8,12.5
169,2012-06-18,17.0,10.6
170,2012-06-19,16.5,11.7
171,2012-06-20,19.0,11.5
172,2012-06-21,21.0,13.2
173,2012-06-22,18.3,12.4
174,2012-06-23,18.0,12.0
175,2012-06-24,19.9,9.4
176,2012-06-25,19.2,9.8
177,2012-06-26,17.8,12.9
178,2012-06-27,20.8,12.8
179,2012-06-28,21.4,12.6
180,2012-06-29,20.6,14.1
181,2012-06-30,17.1,14.6
182,2012-07-01,19.0,13.3
183,2012-07-02,14.0,11.8
184,2012-07-03,17.0,11.4
185,2012-07-04,18.4,11.4
186,2012-07-05,21.4,11.3
187,2012-07-06,24.5,12.3
188,2012-07-07,22.7,12.6
189,2012-07-08,24.0,13.4
190,2012-07-09,24.9,16.4
191,2012-07-10,23.0,14.7
192,2012-07-11,23.5,14.5
193,2012-07-12,24.6,15.0
194,2012-07-13,23.6,16.7
195,2012-07-14,24.9,17.2
196,2012-07-15,20.6,15.5
197,2012-07-16,23.1,14.1
198,2012-07-17,25.1,16.4
199,2012-07-18,22.1,16.2
200,2012-07-19,23.1,16.9
201,2012-07-20,19.1,15.5
202,2012-07-21,23.1,15.6
203,2012-07-22,19.0,14.8
204,2012-07-23,15.1,12.9
205,2012-07-24,19.1,13.4
206,2012-07-25,23.0,13.3
207,2012-07-26,26.0,15.1
208,2012-07-27,19.3,15.5
209,2012-07-28,21.8,16.1
210,2012-07-29,23.9,15.0
211,2012-07-30,21.5,15.8
212,2012-07-31,22.5,15.9
213,2012-08-01,24.5,14.6
214,2012-08-02,22.5,14.8
215,2012-08-03,23.3,14.0
216,2012-08-04,25.9,15.6
217,2012-08-05,28.5,16.7
218,2012-08-06,26.9,16.7
219,2012-08-07,24.5,16.0
220,2012-08-08,20.7,16.5
221,2012-08-09,22.8,15.3
222,2012-08-10,21.3,14.4
223,2012-08-11,23.2,15.4
224,2012-08-12,23.1,16.0
225,2012-08-13,24.5,15.3
226,2012-08-14,23.6,16.5
227,2012-08-15,26.5,16.1
228,2012-08-16,28.0,15.6
229,2012-08-17,29.2,15.3
230,2012-08-18,26.9,16.3
231,2012-08-19,22.3,16.4
232,2012-08-20,23.6,16.0
233,2012-08-21,21.1,14.8
234,2012-08-22,22.7,14.6
235,2012-08-23,20.1,14.2
236,2012-08-24,19.9,10.7
237,2012-08-25,22.0,11.4
238,2012-08-26,24.1,14.2
239,2012-08-27,22.5,14.4
240,2012-08-28,20.7,14.2
241,2012-08-29,19.7,14.6
242,2012-08-30,20.3,13.8
243,2012-08-31,19.8,12.1
244,2012-09-01,22.2,11.9
245,2012-09-02,20.8,12.7
